timestamp,node1,node2,uwb_range,mocap_range,tb_node1_yaw,tb_node2_yaw,error
1693753648.015337,1.0,2.0,5.340000152587891,5.157606433645829,0.000554794220440955,-1.4260068210885801,0.1823937189420617
1693753648.015337,1.0,3.0,9.34000015258789,8.852410555695265,0.000554794220440955,-3.0900693177591183,0.4875895968926258
1693753648.015337,1.0,4.0,7.409999847412109,6.963783315055311,0.000554794220440955,-2.4824384474494576,0.44621653235679837
1693753648.015337,1.0,5.0,7.409999847412109,7.060345939903236,0.000554794220440955,2.8343939596470964,0.3496539075088734
1693753648.015337,2.0,3.0,6.039999961853027,5.600535783873773,-1.4260068210885801,-3.0900693177591183,0.4394641779792545
1693753648.015337,2.0,4.0,2.450000047683716,2.015625924384051,-1.4260068210885801,-2.4824384474494576,0.43437412329966474
1693753648.015337,2.0,5.0,7.289999961853027,6.902991527127562,-1.4260068210885801,2.8343939596470964,0.3870084347254652
1693753648.015337,3.0,4.0,7.239999771118164,6.277922619705993,-3.0900693177591183,-2.4824384474494576,0.9620771514121707
1693753648.015337,3.0,5.0,5.019999980926514,4.5183203233367175,-3.0900693177591183,2.8343939596470964,0.5016796575897962
1693753648.015337,4.0,5.0,9.109999656677246,8.56093014160232,-2.4824384474494576,2.8343939596470964,0.5490695150749261
1693753648.029622,1.0,2.0,5.360000133514404,5.198380419098006,-0.003229402143415659,-1.5405409666318173,0.161619714416398
1693753648.029622,1.0,3.0,9.40999984741211,8.877145185057907,-0.003229402143415659,-3.0900693177591183,0.5328546623542021
1693753648.029622,1.0,4.0,7.480000019073486,7.0046100836384495,-0.003229402143415659,-2.4813431770579575,0.4753899354350368
1693753648.029622,1.0,5.0,7.5,7.079217497059857,-0.003229402143415659,2.8560638694774383,0.42078250294014286
1693753648.029622,2.0,3.0,6.070000171661377,5.599060513309416,-1.5405409666318173,-3.0900693177591183,0.47093965835196094
1693753648.029622,2.0,4.0,2.4200000762939453,2.015140420539277,-1.5405409666318173,-2.4813431770579575,0.4048596557546684
1693753648.029622,2.0,5.0,7.329999923706055,6.888670440928908,-1.5405409666318173,2.8560638694774383,0.4413294827771468
1693753648.029622,3.0,4.0,7.179999828338623,6.278028616860415,-3.0900693177591183,-2.4813431770579575,0.9019712114782079
1693753648.029622,3.0,5.0,5.039999961853027,4.481937500361286,-3.0900693177591183,2.8560638694774383,0.5580624614917413
1693753648.029622,4.0,5.0,9.079999923706055,8.542234581602997,-2.4813431770579575,2.8560638694774383,0.5377653421030573
1693753648.0439065,1.0,2.0,5.420000076293945,5.2492417648889305,0.0017318450644328374,-1.6803027114231253,0.17075831140501485
1693753648.0439065,1.0,3.0,9.489999771118164,8.907593850086105,0.0017318450644328374,-3.0900693177591183,0.5824059210320591
1693753648.0439065,1.0,4.0,7.539999961853027,7.055225459987631,0.0017318450644328374,-2.4818352528786383,0.48477450186539617
1693753648.0439065,1.0,5.0,7.570000171661377,7.1028991675901905,0.0017318450644328374,2.8806106214045384,0.4671010040711865
1693753648.0439065,2.0,3.0,6.070000171661377,5.595469812909791,-1.6803027114231253,-3.0900693177591183,0.47453035875158633
1693753648.0439065,2.0,4.0,2.490000009536743,2.0150199969722444,-1.6803027114231253,-2.4818352528786383,0.47498001256449873
1693753648.0439065,2.0,5.0,7.21999979019165,6.8692300431894635,-1.6803027114231253,2.8806106214045384,0.3507697470021869
1693753648.0439065,3.0,4.0,7.110000133514404,6.27797140931736,-3.0900693177591183,-2.4818352528786383,0.8320287241970439
1693753648.0439065,3.0,5.0,5.059999942779541,4.436659305828217,-3.0900693177591183,2.8806106214045384,0.6233406369513244
1693753648.0439065,4.0,5.0,9.039999961853027,8.518685711917117,-2.4818352528786383,2.8806106214045384,0.5213142499359105
1693753648.0581925,1.0,2.0,5.489999771118164,5.287389296261936,0.00010739803981005975,-1.7921760627794059,0.20261047485622807
1693753648.0581925,1.0,3.0,9.510000228881836,9.036739968662157,0.00010739803981005975,-3.0847200355464865,0.4732602602196785
1693753648.0581925,1.0,4.0,7.480000019073486,7.093694959783076,0.00010739803981005975,-2.482089160422042,0.38630505929041004
1693753648.0581925,1.0,5.0,7.559999942779541,7.121259171219663,0.00010739803981005975,2.9057289803091155,0.43874077155987834
1693753648.0581925,2.0,3.0,6.090000152587891,5.607666345815558,-1.7921760627794059,-3.0847200355464865,0.48233380677233306
1693753648.0581925,2.0,4.0,2.490000009536743,2.014842231959693,-1.7921760627794059,-2.482089160422042,0.47515777757705013
1693753648.0581925,2.0,5.0,7.21999979019165,6.853194908896483,-1.7921760627794059,2.9057289803091155,0.36680488129516764
1693753648.0581925,3.0,4.0,7.199999809265137,6.2364223342030165,-3.0847200355464865,-2.482089160422042,0.9635774750621202
1693753648.0581925,3.0,5.0,5.039999961853027,4.572149384436195,-3.0847200355464865,2.9057289803091155,0.467850577416832
1693753648.0581925,4.0,5.0,8.979999542236328,8.498450406080517,-2.482089160422042,2.9057289803091155,0.4815491361558113
1693753648.0725331,1.0,2.0,5.590000152587891,5.327957424012808,-0.006092519638867917,-1.901429023170469,0.26204272857508304
1693753648.0725331,1.0,3.0,9.539999961853027,9.082204747282674,-0.006092519638867917,-3.0685992879790516,0.45779521457035344
